Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Column 16,Column 17
2004-03-11T18:30:00Z,0:00:00,1.7,1080,55,5.9,805,122,1253,97,1375,815,8.3,58.5,0.6438,,
2004-03-11T18:30:00Z,1:00:00,1.9,1043,53,6.4,829,133,1247,110,1378,831,7.7,59.7,0.6308,,
2004-03-11T18:30:00Z,2:00:00,1.4,987,40,4.1,718,82,1395,91,1303,691,7.1,61.8,0.6276,,
2004-03-11T18:30:00Z,3:00:00,0.8,888,21,1.9,574,,1680,,1187,512,7.0,62.3,0.6261,,
2004-03-11T18:30:00Z,4:00:00,,831,10,1.1,505,21,1892,32,1133,384,6.1,65.9,0.6248,,
2004-03-11T18:30:00Z,5:00:00,0.6,847,7,1.0,501,30,1894,44,1154,394,6.3,65.0,0.6233,,
2004-03-11T18:30:00Z,6:00:00,0.8,927,17,1.8,571,56,1684,71,1222,486,6.8,62.9,0.6234,,
2004-03-11T18:30:00Z,7:00:00,1.4,1090,33,4.4,730,109,1387,104,1360,748,6.4,65.1,0.6316,,
2004-03-11T18:30:00Z,8:00:00,4.4,1587,202,17.9,1235,307,896,141,1900,1400,7.3,63.1,0.6499,,
2004-03-11T18:30:00Z,9:00:00,,1544,,22.1,1353,,767,,2058,1587,9.2,56.2,0.6561,,
2004-03-11T18:30:00Z,10:00:00,3.1,1350,208,14.0,1117,187,912,122,1711,1237,13.2,41.7,0.632,,
2004-03-11T18:30:00Z,11:00:00,2.7,1262,166,11.6,1037,216,969,143,1598,1166,14.3,38.4,0.6243,,
2004-03-11T18:30:00Z,12:00:00,2.1,1206,114,10.2,986,143,1034,113,1537,959,15.0,36.5,0.6195,,
2004-03-11T18:30:00Z,13:00:00,2.5,1251,140,11.0,1015,160,1007,116,1592,983,16.1,34.5,0.6262,,
2004-03-11T18:30:00Z,14:00:00,2.7,1287,169,12.8,1077,163,948,123,1660,1060,16.3,35.7,0.656,,
2004-03-11T18:30:00Z,15:00:00,2.9,1352,185,14.2,1122,190,921,126,1740,1139,15.8,37.0,0.661,,
2004-03-11T18:30:00Z,16:00:00,2.8,1309,165,12.7,1073,178,954,120,1657,1112,15.9,37.2,0.6657,,
2004-03-11T18:30:00Z,17:00:00,2.4,1274,133,11.7,1040,150,1005,119,1609,993,16.9,34.3,0.6549,,
2004-03-11T18:30:00Z,18:00:00,3.9,1509,233,19.3,1276,206,812,149,1909,1409,15.1,39.6,0.6766,,
2004-03-11T18:30:00Z,19:00:00,3.7,1525,242,18.2,1246,202,821,145,1846,1447,14.4,43.4,0.7084,,
2004-03-11T18:30:00Z,20:00:00,6.6,1843,488,32.6,1609,340,624,170,2390,1886,12.9,50.5,0.7478,,
2004-03-11T18:30:00Z,21:00:00,4.4,1597,333,20.1,1299,274,752,149,1940,1626,12.1,53.3,0.7536,,
2004-03-11T18:30:00Z,22:00:00,3.5,1483,215,14.3,1127,253,839,139,1723,1491,11.0,59.1,0.774,,
2004-03-11T18:30:00Z,23:00:00,5.4,1677,367,21.8,1346,300,740,134,2062,1657,9.7,64.6,0.7771,,
2004-03-12T18:30:00Z,0:00:00,2.7,1279,122,9.6,964,193,962,113,1543,1285,9.5,64.1,0.7597,,
2004-03-12T18:30:00Z,1:00:00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423,,
2004-03-12T18:30:00Z,2:00:00,1.6,1183,43,5.4,781,83,1176,82,1364,1042,8.8,63.9,0.7256,,
2004-03-12T18:30:00Z,3:00:00,1.7,1171,46,5.4,782,,1178,,1379,995,7.8,67.5,0.7173,,
2004-03-12T18:30:00Z,4:00:00,,1147,56,6.2,821,109,1132,83,1411,991,7.0,71.1,0.7158,,
2004-03-12T18:30:00Z,5:00:00,1,978,30,2.6,624,62,1420,65,1274,819,8.3,63.6,0.6982,,
2004-03-12T18:30:00Z,6:00:00,1.2,1099,27,2.9,646,53,1406,60,1267,835,7.2,67.5,0.6887,,
2004-03-12T18:30:00Z,7:00:00,1.5,1112,47,5.1,770,139,1228,77,1408,939,6.3,71.9,0.6932,,
2004-03-12T18:30:00Z,8:00:00,2.7,1335,132,11.8,1043,256,935,96,1678,1191,6.5,71.6,0.6945,,
2004-03-12T18:30:00Z,9:00:00,3.7,1408,239,15.1,1153,295,830,119,1776,1411,9.6,59.7,0.7124,,
2004-03-12T18:30:00Z,10:00:00,3.2,1447,160,12.9,1080,250,868,126,1666,1465,12.4,51.2,0.7335,,
2004-03-12T18:30:00Z,11:00:00,4.1,1541,283,16.1,1183,296,808,158,1779,1582,15.6,42.2,0.7451,,
2004-03-12T18:30:00Z,12:00:00,3.6,1451,210,14.0,1117,239,875,161,1679,1387,18.4,33.8,0.709,,
2004-03-12T18:30:00Z,13:00:00,2.8,1328,154,12.3,1059,153,986,124,1599,1100,19.4,31.3,0.695,,
2004-03-12T18:30:00Z,14:00:00,2,1206,112,8.6,924,118,1087,102,1488,849,18.0,34.8,0.7127,,
2004-03-12T18:30:00Z,15:00:00,2,1239,108,9.2,947,119,1049,116,1531,947,18.4,33.6,0.7042,,
2004-03-12T18:30:00Z,16:00:00,2.5,1306,111,10.2,986,138,1004,124,1554,1078,17.6,35.1,0.7012,,
2004-03-12T18:30:00Z,17:00:00,2.3,1326,97,10.6,1000,148,975,125,1601,1083,16.7,37.8,0.7117,,
2004-03-12T18:30:00Z,18:00:00,3.2,1472,191,15.5,1162,227,830,148,1779,1394,16.1,41.0,0.7451,,
2004-03-12T18:30:00Z,19:00:00,4.2,1609,258,19.6,1286,277,757,165,1922,1611,15.8,42.4,0.7569,,
2004-03-12T18:30:00Z,20:00:00,4.2,1610,284,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.7786,,
2004-03-12T18:30:00Z,21:00:00,4.2,1620,269,18.3,1247,283,762,159,1860,1885,15.3,46.8,0.8091,,
2004-03-12T18:30:00Z,22:00:00,3.1,1444,180,13.1,1088,214,844,143,1747,1623,14.6,48.6,0.806,,
2004-03-12T18:30:00Z,23:00:00,2.6,1418,116,10.9,1009,172,892,130,1603,1536,14.7,49.3,0.8193,,
2004-03-13T18:30:00Z,0:00:00,2.9,1533,93,11.0,1013,190,888,129,1610,1534,13.9,53.6,0.8498,,
2004-03-13T18:30:00Z,1:00:00,2.8,1483,131,11.9,1044,174,879,119,1624,1529,14.6,51.5,0.8536,,
2004-03-13T18:30:00Z,2:00:00,2.5,1366,92,8.6,924,128,952,104,1543,1337,12.5,58.9,0.8537,,
2004-03-13T18:30:00Z,3:00:00,2.4,1344,132,9.7,967,,920,,1619,1278,11.6,63.4,0.8674,,
2004-03-13T18:30:00Z,4:00:00,,1129,56,5.2,773,70,1130,82,1451,1050,12.1,61.1,0.8603,,
2004-03-13T18:30:00Z,5:00:00,1.2,1062,32,3.7,691,53,1271,70,1376,929,11.5,63.1,0.8533,,
2004-03-13T18:30:00Z,6:00:00,1,1075,29,2.5,618,44,1395,63,1333,872,11.6,62.2,0.8473,,
2004-03-13T18:30:00Z,7:00:00,0.9,1028,27,2.4,614,74,1383,67,1340,853,10.4,67.6,0.853,,
2004-03-13T18:30:00Z,8:00:00,1.4,1154,36,4.2,722,101,1224,84,1413,959,11.6,62.7,0.853,,
2004-03-13T18:30:00Z,9:00:00,1.6,1235,57,6.4,828,118,1055,83,1527,1093,12.4,60.0,0.8627,,
2004-03-13T18:30:00Z,10:00:00,2.2,1331,129,8.6,923,144,951,98,1613,1225,14.5,53.1,0.8728,,
2004-03-13T18:30:00Z,11:00:00,2.8,1444,148,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.8789,,
2004-03-13T18:30:00Z,12:00:00,2.8,1415,145,10.7,1002,161,906,119,1676,1261,19.3,38.3,0.8474,,
2004-03-13T18:30:00Z,13:00:00,2,1281,93,7.5,880,113,1083,104,1525,980,21.2,31.4,0.7812,,
2004-03-13T18:30:00Z,14:00:00,1.8,1207,84,7.5,878,103,1103,102,1489,872,21.4,30.2,0.7616,,
2004-03-13T18:30:00Z,15:00:00,1.9,1257,99,8.2,905,112,1081,107,1511,900,21.9,29.0,0.7525,,
2004-03-13T18:30:00Z,16:00:00,3,1457,150,11.9,1045,170,973,129,1646,1098,22.2,28.4,0.7516,,
2004-03-13T18:30:00Z,17:00:00,2.9,1437,156,12.0,1050,180,942,128,1667,1206,21.3,30.8,0.7696,,
2004-03-13T18:30:00Z,18:00:00,2.5,1477,122,12.2,1055,160,929,121,1670,1262,19.7,36.7,0.8307,,
2004-03-13T18:30:00Z,19:00:00,4.6,1807,262,20.6,1312,261,753,157,1992,1697,18.4,41.7,0.8732,,
2004-03-13T18:30:00Z,20:00:00,5.9,1898,341,23.1,1381,325,680,173,2102,1904,17.6,46.1,0.921,,
2004-03-13T18:30:00Z,21:00:00,3.4,1559,214,14.7,1139,217,783,146,1817,1648,16.7,49.6,0.932,,
2004-03-13T18:30:00Z,22:00:00,2.1,1324,100,9.0,939,146,923,121,1587,1422,16.3,51.0,0.9341,,
2004-03-13T18:30:00Z,23:00:00,2.2,1348,79,8.8,933,152,933,119,1616,1348,14.7,55.9,0.9314,,
2004-03-14T18:30:00Z,0:00:00,1.8,1238,66,7.4,872,104,985,99,1546,1250,14.8,54.7,0.9164,,
2004-03-14T18:30:00Z,1:00:00,1.8,1239,73,6.9,853,106,1010,93,1543,1173,14.0,57.0,0.9094,,
2004-03-14T18:30:00Z,2:00:00,1.8,1223,66,7.0,855,108,998,88,1565,1148,13.4,61.3,0.9361,,
2004-03-14T18:30:00Z,3:00:00,1.1,1078,44,4.4,734,,1128,,1486,1020,12.6,63.5,0.923,,
2004-03-14T18:30:00Z,4:00:00,,1077,44,4.0,710,66,1150,71,1467,1012,12.3,65.4,0.9351,,
2004-03-14T18:30:00Z,5:00:00,1,1074,39,3.9,703,88,1155,74,1463,1010,11.9,67.4,0.9375,,
2004-03-14T18:30:00Z,6:00:00,1.4,1156,51,6.4,829,138,1029,80,1584,1083,11.4,70.5,0.9475,,
2004-03-14T18:30:00Z,7:00:00,2.2,1314,107,9.7,965,228,896,89,1710,1234,11.3,70.2,0.9401,,
2004-03-14T18:30:00Z,8:00:00,5.5,1796,336,25.9,1451,360,652,114,2323,1679,12.4,63.9,0.917,,
2004-03-14T18:30:00Z,9:00:00,8.1,1961,618,36.7,1701,478,536,149,2665,2184,14.8,54.3,0.9076,,
2004-03-14T18:30:00Z,10:00:00,5.8,1770,438,26.6,1470,394,621,157,2261,1973,17.4,45.6,0.8993,,
2004-03-14T18:30:00Z,11:00:00,4.2,1563,334,20.1,1299,319,709,155,2029,1798,19.8,38.5,0.8801,,
2004-03-14T18:30:00Z,12:00:00,3.1,1430,221,14.1,1119,201,830,134,1783,1522,22.0,34.1,0.8904,,
2004-03-14T18:30:00Z,13:00:00,2.9,1417,207,14.9,1146,171,829,119,1830,1404,23.3,32.2,0.9096,,
2004-03-14T18:30:00Z,14:00:00,2.9,1400,191,15.4,1162,159,838,111,1828,1263,23.9,30.0,0.8757,,
2004-03-14T18:30:00Z,15:00:00,2.5,1317,185,12.1,1052,153,926,104,1706,1137,24.4,28.9,0.8736,,
2004-03-14T18:30:00Z,16:00:00,2.3,1317,141,11.5,1033,143,949,99,1675,1068,24.4,29.4,0.8848,,
2004-03-14T18:30:00Z,17:00:00,2.8,1445,214,14.8,1141,156,856,110,1823,1251,23.8,31.3,0.9137,,
2004-03-14T18:30:00Z,18:00:00,6.1,1917,471,32.1,1600,314,631,162,2447,1843,22.5,35.4,0.9547,,
2004-03-14T18:30:00Z,19:00:00,8,2039,685,39.2,1754,404,542,187,2679,2122,20.4,42.5,1.0086,,
2004-03-14T18:30:00Z,20:00:00,6.5,1894,538,31.0,1573,320,565,165,2442,1991,18.3,52.6,1.0945,,
2004-03-14T18:30:00Z,21:00:00,4.2,1594,319,19.9,1293,256,678,145,2057,1707,16.7,57.4,1.0786,,
2004-03-14T18:30:00Z,22:00:00,3.2,1438,224,15.3,1158,193,764,125,1856,1494,15.7,60.2,1.0654,,
2004-03-14T18:30:00Z,23:00:00,1.4,1141,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,,
2004-03-15T18:30:00Z,0:00:00,2.1,1303,155,11.1,1019,127,852,103,1731,1271,14.1,65.7,1.0494,,
2004-03-15T18:30:00Z,1:00:00,1.2,1074,49,5.4,783,79,1097,88,1483,1039,14.8,60.6,1.0148,,
2004-03-15T18:30:00Z,2:00:00,0.8,968,29,2.8,640,43,1319,61,1385,866,14.8,59.2,0.9879,,
2004-03-15T18:30:00Z,3:00:00,0.7,929,25,2.3,607,,1375,,1364,825,13.6,62.1,0.9636,,
2004-03-15T18:30:00Z,4:00:00,,941,25,2.6,625,59,1315,59,1373,839,12.3,66.2,0.945,,
2004-03-15T18:30:00Z,5:00:00,0.6,937,17,2.0,584,38,1411,52,1348,792,12.8,63.2,0.9283,,
2004-03-15T18:30:00Z,6:00:00,0.9,1017,27,3.5,681,82,1245,64,1417,869,11.2,68.5,0.9081,,
2004-03-15T18:30:00Z,7:00:00,1.3,1171,50,5.1,770,99,1161,70,1466,930,11.0,66.5,0.8705,,
2004-03-15T18:30:00Z,8:00:00,3.4,1541,218,16.2,1185,263,770,97,1888,1406,11.7,63.7,0.8719,,
2004-03-15T18:30:00Z,9:00:00,3.7,1539,285,19.7,1287,229,697,95,2054,1507,13.6,56.3,0.8743,,
2004-03-15T18:30:00Z,10:00:00,5.3,1734,437,25.1,1430,396,628,150,2211,1843,17.8,42.9,0.8672,,
2004-03-15T18:30:00Z,11:00:00,4.1,1571,327,20.0,1296,314,730,162,1972,1729,21.4,33.3,0.8417,,
2004-03-15T18:30:00Z,12:00:00,3.3,1451,283,18.3,1249,217,775,154,1868,1583,24.4,27.4,0.8231,,
2004-03-15T18:30:00Z,13:00:00,4,1579,366,22.3,1359,252,724,161,1997,1670,25.3,26.1,0.8264,,
2004-03-15T18:30:00Z,14:00:00,3.8,1466,318,20.4,1308,263,772,161,1897,1491,25.8,23.2,0.7589,,
2004-03-15T18:30:00Z,15:00:00,2.8,1279,228,14.6,1136,180,892,128,1675,1239,27.0,20.2,0.7094,,
2004-03-15T18:30:00Z,16:00:00,2.9,1407,201,16.6,1196,184,905,129,1758,1313,28.2,18.6,0.7014,,
2004-03-15T18:30:00Z,17:00:00,2.9,1388,199,15.8,1173,190,898,133,1739,1363,28.0,19.1,0.7098,,
2004-03-15T18:30:00Z,18:00:00,3.4,1447,237,17.8,1234,184,858,139,1778,1295,23.9,25.7,0.7519,,
2004-03-15T18:30:00Z,19:00:00,3.9,1551,261,19.1,1271,181,800,137,1874,1432,21.3,34.8,0.873,,
2004-03-15T18:30:00Z,20:00:00,3.2,1473,230,15.8,1172,166,854,143,1776,1431,20.4,36.7,0.8704,,
2004-03-15T18:30:00Z,21:00:00,5.1,1799,349,24.9,1426,317,700,177,2105,2033,19.0,41.3,0.9007,,
2004-03-15T18:30:00Z,22:00:00,2.6,1379,183,13.5,1101,184,817,138,1710,1601,17.9,45.9,0.9342,,
2004-03-15T18:30:00Z,23:00:00,1.7,1200,88,9.1,942,130,935,117,1559,1361,16.7,48.9,0.9226,,
2004-03-16T18:30:00Z,0:00:00,1.7,1204,85,8.6,924,132,922,107,1546,1314,15.5,52.9,0.9271,,
2004-03-16T18:30:00Z,1:00:00,1.2,1071,47,5.4,784,95,1065,90,1441,1113,15.5,51.9,0.9059,,
2004-03-16T18:30:00Z,2:00:00,0.9,997,34,4.1,713,70,1169,79,1383,991,14.1,55.6,0.891,,
2004-03-16T18:30:00Z,3:00:00,0.7,933,26,2.6,625,,1291,,1331,883,13.1,57.9,0.8666,,
2004-03-16T18:30:00Z,4:00:00,,882,17,1.9,576,54,1396,60,1303,808,12.7,57.9,0.8447,,
2004-03-16T18:30:00Z,5:00:00,0.5,868,11,1.6,553,28,1459,40,1267,667,11.8,58.0,0.8026,,
2004-03-16T18:30:00Z,6:00:00,0.5,890,18,1.9,576,46,1416,53,1289,733,11.9,57.4,0.7978,,
2004-03-16T18:30:00Z,7:00:00,1.6,1172,84,7.5,877,160,1038,84,1556,1051,9.9,65.2,0.7956,,
2004-03-16T18:30:00Z,8:00:00,4.1,1587,260,21.4,1333,320,702,108,1998,1533,11.1,60.2,0.7958,,
2004-03-16T18:30:00Z,9:00:00,6.6,1851,534,36.4,1695,377,552,127,2535,1931,14.1,50.0,0.802,,
2004-03-16T18:30:00Z,10:00:00,4.3,1521,368,21.3,1331,280,702,134,2025,1733,17.7,40.1,0.8048,,
2004-03-16T18:30:00Z,11:00:00,2.9,1438,200,15.4,1160,221,818,135,1781,1595,21.1,33.4,0.8265,,
2004-03-16T18:30:00Z,12:00:00,2.5,1393,145,12.5,1066,210,905,142,1654,1489,24.3,28.3,0.8471,,
2004-03-16T18:30:00Z,13:00:00,2.8,1452,188,15.1,1152,204,860,153,1747,1507,25.6,25.6,0.8254,,
2004-03-16T18:30:00Z,14:00:00,2.6,1389,152,13.7,1108,161,886,123,1711,1334,25.9,25.9,0.8503,,
2004-03-16T18:30:00Z,15:00:00,2,1207,103,10.4,993,135,1013,104,1519,1044,26.8,18.7,0.65,,
2004-03-16T18:30:00Z,16:00:00,2.9,1365,193,15.2,1153,186,939,129,1678,1221,29.3,15.8,0.6309,,
2004-03-16T18:30:00Z,17:00:00,2.5,1247,134,12.3,1060,147,1032,114,1524,1068,28.5,14.9,0.5708,,
2004-03-16T18:30:00Z,18:00:00,5,1556,386,27.0,1477,299,793,158,1980,1568,25.9,16.0,0.5237,,
2004-03-16T18:30:00Z,19:00:00,7.6,1972,577,38.4,1737,411,616,194,2413,2305,23.1,26.5,0.7403,,
2004-03-16T18:30:00Z,20:00:00,6.7,1974,523,35.1,1666,347,596,182,2415,2358,20.5,38.2,0.9133,,
2004-03-16T18:30:00Z,21:00:00,5.7,1794,472,27.2,1485,336,652,180,2174,2050,19.1,42.6,0.9294,,
2004-03-16T18:30:00Z,22:00:00,2.8,1443,206,15.0,1150,202,769,136,1726,1726,17.2,44.1,0.8558,,
2004-03-16T18:30:00Z,23:00:00,2.6,1488,216,15.7,1170,178,731,127,1777,1705,16.0,50.9,0.9206,,
2004-03-17T18:30:00Z,0:00:00,2.3,1371,159,13.0,1082,154,795,116,1668,1550,14.8,53.9,0.9024,,
2004-03-17T18:30:00Z,1:00:00,1.4,1160,70,8.1,904,92,946,107,1502,1240,14.3,55.4,0.8975,,
2004-03-17T18:30:00Z,2:00:00,1,1064,44,5.5,787,61,1056,88,1407,1115,14.8,52.1,0.8686,,
2004-03-17T18:30:00Z,3:00:00,0.7,970,42,3.6,687,,1195,,1350,968,13.9,53.9,0.8501,,
2004-03-17T18:30:00Z,4:00:00,,954,28,2.9,644,60,1260,78,1334,924,11.6,61.9,0.8442,,
2004-03-17T18:30:00Z,5:00:00,0.6,930,20,2.5,622,37,1293,57,1306,827,12.0,58.9,0.8233,,
2004-03-17T18:30:00Z,6:00:00,0.7,938,26,3.0,650,68,1251,71,1332,893,10.9,62.1,0.8113,,
2004-03-17T18:30:00Z,7:00:00,1.5,1166,78,7.7,885,139,1005,85,1550,1075,10.6,63.3,0.8067,,
2004-03-17T18:30:00Z,8:00:00,4.7,1643,319,23.3,1384,339,667,124,2093,1610,11.5,60.0,0.8117,,
2004-03-17T18:30:00Z,9:00:00,6.6,1934,506,35.8,1681,421,540,151,2468,2050,14.3,50.6,0.8186,,
2004-03-17T18:30:00Z,10:00:00,4.5,1616,,21.3,1332,349,685,150,2010,1818,17.8,40.5,0.821,,
2004-03-17T18:30:00Z,11:00:00,2.8,1472,,14.3,1126,224,830,152,1752,1567,20.8,34.4,0.8365,,
2004-03-17T18:30:00Z,12:00:00,2.2,1378,,12.5,1067,171,898,139,1662,1373,23.8,28.2,0.8219,,
2004-03-17T18:30:00Z,13:00:00,2.2,1385,,12.2,1056,149,891,133,1648,1267,24.2,28.7,0.8515,,
2004-03-17T18:30:00Z,14:00:00,2.3,1378,,13.1,1086,137,901,126,1660,1143,25.2,24.9,0.7829,,
2004-03-17T18:30:00Z,15:00:00,2.2,1321,,14.4,1128,149,933,128,1639,1109,27.0,17.8,0.6275,,
2004-03-17T18:30:00Z,16:00:00,2.8,1495,,16.8,1205,172,822,169,1766,1347,27.1,23.1,0.818,,
2004-03-17T18:30:00Z,17:00:00,2.7,1408,,14.5,1131,166,873,149,1688,1205,25.8,23.9,0.7832,,
2004-03-17T18:30:00Z,18:00:00,3.7,1512,,21.5,1338,214,764,156,1956,1397,23.0,26.8,0.7446,,
2004-03-17T18:30:00Z,19:00:00,5.1,1667,,26.4,1464,280,683,168,2117,1588,20.7,31.1,0.7523,,
2004-03-17T18:30:00Z,20:00:00,5.1,1666,,26.0,1453,276,683,176,2051,1568,18.6,36.2,0.7676,,
2004-03-17T18:30:00Z,21:00:00,3.2,1430,,14.1,1121,178,814,135,1731,1321,16.0,48.4,0.8768,,
2004-03-17T18:30:00Z,22:00:00,2.1,1333,,10.3,989,129,885,121,1620,1194,14.5,57.8,0.9456,,
2004-03-17T18:30:00Z,23:00:00,1.7,1261,,8.3,910,95,948,99,1545,1061,13.1,64.2,0.9606,,
2004-03-18T18:30:00Z,0:00:00,2,1287,,8.9,936,126,918,106,1606,1040,12.0,69.7,0.9735,,
2004-03-18T18:30:00Z,1:00:00,1.6,1134,,6.6,840,103,1021,96,1501,917,11.9,71.1,0.9915,,
2004-03-18T18:30:00Z,2:00:00,0.9,998,,3.6,687,48,1228,63,1380,593,12.5,69.3,1.0029,,
2004-03-18T18:30:00Z,3:00:00,0.7,960,,2.5,621,,1381,,1300,430,12.5,67.5,0.9768,,
2004-03-18T18:30:00Z,4:00:00,,933,,1.8,568,20,1439,32,1280,397,12.3,67.7,0.9665,,
2004-03-18T18:30:00Z,5:00:00,0.5,912,,1.3,524,18,1619,28,1260,370,12.5,66.8,0.962,,
2004-03-18T18:30:00Z,6:00:00,0.7,969,,2.3,606,56,1372,61,1323,438,12.3,66.3,0.9487,,
2004-03-18T18:30:00Z,7:00:00,1.5,1181,,6.7,845,115,1054,99,1539,704,12.4,64.9,0.9332,,
2004-03-18T18:30:00Z,8:00:00,4.8,1740,,22.8,1372,320,670,157,2144,1475,13.0,61.6,0.9209,,
2004-03-18T18:30:00Z,9:00:00,6.2,1819,,31.3,1581,357,574,166,2455,1715,13.6,58.8,0.912,,
2004-03-18T18:30:00Z,10:00:00,4,1427,,19.2,1275,253,700,149,1980,1398,13.9,57.1,0.9032,,
2004-03-18T18:30:00Z,11:00:00,3.3,1389,,16.4,1190,218,758,135,1878,1267,14.5,54.4,0.8917,,
2004-03-18T18:30:00Z,12:00:00,2.8,1283,,14.0,1117,192,813,127,1751,1188,15.5,50.1,0.8744,,
2004-03-18T18:30:00Z,13:00:00,3,1303,,15.3,1156,176,793,122,1800,1170,16.1,47.6,0.8655,,
2004-03-18T18:30:00Z,14:00:00,3.3,1364,,16.7,1201,198,770,135,1875,1250,16.3,47.1,0.864,,
2004-03-18T18:30:00Z,15:00:00,3.5,1409,,19.0,1268,212,724,139,1956,1344,16.4,47.5,0.8791,,
2004-03-18T18:30:00Z,16:00:00,4,1476,,19.4,1280,249,708,147,1954,1378,16.1,50.2,0.9094,,
2004-03-18T18:30:00Z,17:00:00,4.6,1522,,20.9,1320,270,689,158,2005,1435,16.0,50.7,0.9142,,
2004-03-18T18:30:00Z,18:00:00,4.1,1441,,20.2,1301,231,704,146,1952,1372,15.8,50.3,0.8989,,
2004-03-18T18:30:00Z,19:00:00,4.5,1469,,21.7,1344,251,677,144,1996,1471,15.5,50.6,0.884,,
2004-03-18T18:30:00Z,20:00:00,3.9,1467,,19.8,1292,210,697,138,1942,1438,15.4,51.4,0.8956,,
