CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQualityCategory
1.7,985.0,8.5,921.0,178.0,819.0,104.0,1585.0,970.0,21.7,46.3,1.1867,Moderate
0.4,834.0,1.8,565.0,26.0,1186.0,23.0,1443.0,473.0,28.8,49.0,1.9112,Good
2.0,1069.0,8.8,931.0,481.0,781.0,152.0,1054.0,1110.0,4.5,53.0,0.4495,Moderate
0.6,814.0,2.6,628.0,33.0,1211.0,37.0,1425.0,689.0,14.7,65.2,1.0811,Good
2.2,990.0,7.8,890.0,261.0,908.0,99.0,1277.0,765.0,21.5,31.4,0.7943,Moderate
4.6,1511.0,21.0,1323.0,304.0,631.0,139.0,2001.0,1676.0,16.2,48.6,0.8892,Poor
1.0,1106.0,4.1,714.0,152.0,714.0,100.0,1279.0,948.0,13.9,80.4,1.2694,Good
3.3,1236.0,18.0,1239.0,186.0,637.0,169.0,1985.0,1106.0,34.5,28.5,1.531,Poor
1.5,1054.0,10.4,992.0,302.0,714.0,179.0,1092.0,1051.0,7.8,39.7,0.4206,Moderate
1.9,1107.0,7.1,860.0,118.0,956.0,101.0,1509.0,878.0,9.6,76.0,0.9088,Good
3.7,1460.0,22.3,1358.0,394.0,473.0,112.0,2032.0,1602.0,26.8,49.1,1.7101,Poor
2.2,1120.0,13.4,1095.0,130.0,753.0,102.0,1767.0,975.0,21.5,39.7,1.0042,Moderate
1.6,1035.0,9.1,943.0,109.0,769.0,118.0,1508.0,769.0,36.3,19.5,1.1539,Moderate
2.9,1383.0,11.2,1019.0,243.0,1008.0,135.0,1718.0,1104.0,9.8,67.6,0.8185,Moderate
1.5,1012.0,5.8,801.0,94.0,1098.0,90.0,1288.0,525.0,18.0,27.1,0.5522,Good
3.4,1300.0,16.9,1207.0,419.0,559.0,147.0,1780.0,1417.0,23.6,57.3,1.645,Poor
1.3,1026.0,5.9,808.0,106.0,1081.0,88.0,1441.0,732.0,13.6,53.0,0.8209,Good
1.8,1076.0,10.9,1011.0,113.0,893.0,116.0,1665.0,815.0,40.3,16.1,1.1896,Moderate
5.5,1372.0,26.9,1476.0,799.0,542.0,132.0,1973.0,1555.0,15.0,57.7,0.9778,Poor
3.6,1358.0,14.8,1143.0,184.0,727.0,115.0,1851.0,1242.0,17.4,57.6,1.1342,Moderate
1.7,1158.0,10.8,1007.0,165.5,695.0,90.0,1489.0,1174.0,24.6,42.8,1.3053,Moderate
3.3,1216.0,11.6,1035.0,459.0,660.0,146.0,1260.0,1170.0,4.7,82.3,0.7105,Moderate
2.3,1255.0,20.1,1300.0,784.0,571.0,224.0,1354.0,1749.0,7.3,50.6,0.5184,Poor
1.3,959.0,9.9,972.0,140.0,769.0,89.0,1615.0,1155.0,18.8,49.4,1.0624,Moderate
1.3,911.0,3.5,684.0,205.0,934.0,101.5,1050.0,875.0,7.5,69.3,0.7201,Good
1.1,887.0,3.5,679.0,211.0,984.0,70.0,1137.0,825.0,13.1,67.4,1.0101,Good
1.3,1171.0,5.1,770.0,99.0,1161.0,70.0,1466.0,930.0,11.0,66.5,0.8705,Good
1.4,973.0,4.5,735.0,168.0,888.0,96.0,944.0,966.0,3.0,60.7,0.4667,Good
1.1,1059.0,6.3,824.0,277.0,853.0,147.0,967.0,1337.0,9.8,36.0,0.4364,Good
4.3,1408.0,18.8,1262.0,606.0,434.0,146.0,1708.0,1565.0,15.3,63.3,1.092,Poor
1.4,1031.0,3.6,686.0,141.0,867.0,89.0,1109.0,878.0,9.8,70.7,0.8571,Good
1.0,991.0,2.7,632.0,123.0,980.0,88.0,1114.0,636.0,14.9,57.9,0.9726,Good
0.3,804.0,0.5,437.0,28.0,1491.0,27.0,738.0,296.0,6.9,39.8,0.3966,Good
1.4,915.0,3.8,700.0,197.0,954.0,132.0,899.0,791.0,6.4,44.2,0.428,Good
1.6,1109.0,9.7,964.0,59.0,695.0,74.0,1741.0,1099.0,28.8,45.9,1.7884,Moderate
2.0,1065.0,8.2,907.0,313.0,740.0,174.0,952.0,1284.0,7.4,31.8,0.3287,Moderate
0.5,858.0,4.3,726.0,65.0,1119.0,84.0,1187.0,752.0,16.7,28.3,0.5316,Good
4.0,1364.0,12.3,1060.0,589.0,533.0,178.0,1436.0,1397.0,15.6,58.0,1.0197,Moderate
2.4,1105.0,11.9,1046.0,146.0,776.0,137.0,1750.0,1102.0,29.0,33.6,1.3277,Moderate
1.1,948.0,4.8,754.0,64.0,1086.0,64.0,1436.0,601.0,24.4,32.7,0.9863,Good
2.6,1211.0,10.9,1010.0,379.0,622.0,184.0,1283.0,1213.0,7.8,63.4,0.6735,Moderate
1.2,971.0,8.1,902.0,59.0,932.0,67.0,1647.0,877.0,24.9,41.2,1.2809,Moderate
4.0,1475.0,21.0,1324.0,475.0,489.0,115.0,1924.0,1530.0,23.3,57.9,1.6376,Poor
2.9,1166.0,11.0,1012.0,451.0,643.0,90.0,1408.0,1143.0,12.1,79.4,1.1201,Moderate
0.5,883.0,1.0,495.0,48.0,1140.0,45.0,804.0,478.0,6.9,45.0,0.4499,Good
4.3,1403.0,15.4,1161.0,614.0,486.0,178.0,1575.0,1582.0,15.9,56.6,1.0147,Moderate
2.5,1187.0,9.0,938.0,353.0,658.0,210.0,1234.0,1047.0,14.8,42.8,0.7182,Moderate
3.6,1386.0,14.3,1126.0,515.0,529.0,175.0,1429.0,1614.0,13.4,55.9,0.8588,Moderate
3.5,1229.0,19.0,1268.0,309.0,698.0,171.0,2048.0,1508.0,28.1,35.2,1.312,Poor
2.5,947.0,11.1,1017.0,389.0,1064.0,147.0,1076.0,929.0,17.3,20.4,0.4011,Moderate
1.7,1195.0,7.7,885.0,85.0,883.0,89.0,1588.0,972.0,17.4,51.8,1.023,Good
0.6,913.0,4.4,732.0,249.0,902.0,163.0,901.0,681.0,3.5,47.5,0.3778,Good
0.7,947.0,2.1,593.0,24.0,1300.0,36.0,1390.0,580.0,14.5,63.0,1.0316,Good
6.7,1713.0,32.4,1605.0,980.0,383.0,212.0,1869.0,2186.0,12.2,44.8,0.6342,Poor
1.3,903.0,6.9,852.0,72.0,930.0,69.0,1420.0,605.0,38.8,15.8,1.0706,Good
1.0,1054.0,5.6,794.0,103.0,806.0,51.0,1493.0,833.0,24.1,59.0,1.7449,Good
0.5,769.0,2.2,599.0,66.0,2080.0,47.5,900.0,416.0,13.8,36.8,0.576,Good
2.8,1353.0,13.4,1095.0,195.0,773.0,130.0,1783.0,1159.0,11.7,69.1,0.9497,Moderate
1.3,843.0,6.3,825.0,90.0,1026.0,101.0,1405.0,536.0,19.7,33.7,0.7646,Good
3.5,1238.0,14.4,1128.0,121.0,636.0,106.0,1838.0,1308.0,28.9,39.1,1.537,Moderate
0.8,967.0,5.5,788.0,61.0,810.0,61.0,1597.0,995.0,24.6,52.2,1.5881,Good
1.6,933.0,6.6,840.0,100.0,972.0,93.0,1497.0,756.0,12.3,66.4,0.944,Good
1.6,1090.0,5.2,773.0,86.0,1105.0,83.0,1428.0,761.0,13.9,55.9,0.8842,Good
2.0,1123.0,9.1,942.0,323.0,652.0,207.0,1225.0,1104.0,11.4,48.9,0.658,Moderate
1.7,996.0,9.2,946.0,106.0,997.0,87.0,1459.0,815.0,25.5,22.6,0.7288,Moderate
1.5,1066.0,10.1,980.0,402.0,755.0,186.0,1104.0,1383.0,10.9,33.8,0.4393,Moderate
3.5,1429.0,15.7,1169.0,657.0,480.0,162.0,1542.0,1514.0,10.8,64.4,0.8328,Moderate
0.8,966.0,4.6,743.0,58.0,967.0,65.0,1510.0,935.0,15.6,63.9,1.1287,Good
0.7,937.0,2.7,630.0,99.0,881.0,77.0,931.0,679.0,12.0,44.2,0.6177,Good
0.6,698.0,2.4,613.0,115.0,1730.0,64.0,682.0,386.0,15.0,16.3,0.2749,Good
1.0,940.0,6.7,845.0,57.0,845.0,70.0,1538.0,704.0,21.6,51.9,1.3254,Good
2.8,1241.0,19.1,1270.0,155.0,606.0,131.0,1970.0,1286.0,35.8,24.1,1.3924,Poor
3.9,1404.0,17.5,1224.0,601.0,468.0,270.0,1502.0,1658.0,6.7,74.2,0.7326,Poor
7.7,1834.0,40.0,1770.0,826.0,358.0,172.0,2474.0,2073.0,23.9,61.8,1.8088,Poor
1.3,1146.0,8.2,906.0,152.0,815.0,80.0,1686.0,1126.0,16.0,65.8,1.1844,Moderate
0.4,762.0,1.7,563.0,12.0,1180.0,21.0,1208.0,491.0,21.7,42.6,1.0907,Good
2.7,1103.0,14.8,1142.0,310.0,740.0,116.0,1646.0,1088.0,23.2,43.3,1.2161,Moderate
0.8,884.0,2.8,638.0,236.9796848547988,1059.0,110.3925641359552,1247.0,483.0,29.9,29.6,1.2296,Good
0.9,958.0,5.9,805.0,92.0,886.0,74.0,1551.0,834.0,22.0,51.0,1.3296,Good
0.6,860.0,1.2,518.0,75.5,1140.0,71.5,737.0,481.0,3.9,39.9,0.325,Good
1.4,986.0,6.1,815.0,235.0,816.0,156.0,958.0,821.0,11.3,33.5,0.4476,Good
0.3,874.0,2.5,621.0,35.0,1166.0,58.0,1330.0,656.0,20.0,41.5,0.9571,Good
0.7,875.0,3.5,682.0,34.0,983.0,36.0,1457.0,610.0,23.9,56.3,1.6489,Good
2.4,1148.0,13.6,1103.0,413.0,621.0,94.0,1662.0,1090.0,16.8,79.8,1.5115,Moderate
1.3,1116.0,5.9,807.0,298.0,668.0,123.0,1177.0,1109.0,7.9,68.4,0.7324,Good
0.5,690.0,0.7,470.0,63.0,1551.0,53.0,697.0,357.0,5.6,37.7,0.3444,Good
2.7,1065.0,13.6,1104.0,207.0,722.0,162.0,1672.0,986.0,26.6,30.2,1.033,Moderate
1.4,1090.0,4.4,730.0,109.0,1387.0,104.0,1360.0,748.0,6.4,65.1,0.6316,Good
0.9,1207.0,8.3,911.0,317.0,612.0,166.0,1245.0,1243.0,13.7,52.1,0.8121,Moderate
1.4,1026.0,5.6,791.0,76.0,875.0,88.0,1548.0,664.0,29.9,37.9,1.5745,Good
1.6,894.0,6.2,820.0,288.0,932.0,127.0,1071.0,820.0,13.8,36.2,0.569,Good
1.0,932.0,4.2,721.0,120.0,898.0,87.0,889.0,449.0,28.5,13.1,0.5002,Good
1.3,1085.0,5.1,768.0,156.0,710.0,85.0,1264.0,820.0,23.7,39.4,1.1366,Good
4.8,1323.0,26.8,1474.0,501.0,554.0,173.0,1854.0,1547.0,28.0,23.3,0.8681,Poor
1.4,955.0,3.9,705.0,168.0,888.0,119.0,884.0,616.0,12.6,30.6,0.446,Good
0.5,829.0,2.6,627.0,77.5,994.0,54.5,1377.0,577.0,22.3,59.7,1.5889,Good
1.3,909.0,4.0,709.0,206.0,935.0,95.0,953.0,920.0,4.8,64.6,0.563,Good
3.8,1545.0,15.1,1151.0,173.0,769.0,116.0,1873.0,1122.0,18.5,43.8,0.9252,Moderate
0.6,911.0,6.2,819.0,65.0,1224.0,77.0,1367.0,589.0,30.3,17.0,0.7232,Good
4.2,1447.0,19.7,1287.0,870.0,518.0,251.0,1505.0,1838.0,15.8,50.1,0.892,Poor
1.2,949.0,8.3,910.0,71.0,815.0,77.0,1552.0,1015.0,22.2,43.0,1.1363,Moderate
2.0,1052.0,9.8,969.0,138.0,930.0,105.0,1472.0,991.0,25.5,21.1,0.677,Moderate
1.4,1023.0,7.4,874.0,83.0,784.0,71.0,1589.0,710.0,36.4,27.1,1.6226,Good
0.9,1041.0,3.8,701.0,207.0,794.0,113.0,944.0,1216.0,1.8,68.9,0.4878,Good
0.4,808.0,3.2,663.0,28.0,1185.0,40.0,1270.0,427.0,38.5,14.8,0.9942,Good
0.0,879.0,0.5,447.0,37.0,1317.0,36.0,910.0,347.0,4.0,81.5,0.6712,Good
3.6,1225.0,19.4,1280.0,180.0,683.0,133.0,2082.0,1143.0,30.7,31.4,1.3686,Poor
2.6,1061.0,8.1,902.0,270.0,717.0,190.0,1141.0,719.0,4.2,77.8,0.6491,Moderate
2.5,1477.0,12.2,1055.0,160.0,929.0,121.0,1670.0,1262.0,19.7,36.7,0.8307,Moderate
1.0,987.0,5.2,773.0,206.0,842.0,89.0,1189.0,841.0,10.4,77.3,0.9709,Good
0.7,960.0,2.6,629.0,104.0,1010.0,68.0,1113.0,681.0,12.3,62.7,0.8947,Good
1.1,859.0,2.4,610.0,134.0,1053.0,95.0,918.0,561.0,8.8,52.1,0.5918,Good
1.3,999.0,5.3,776.0,81.0,1141.0,96.0,1374.0,896.0,12.0,54.9,0.7664,Good
1.9,973.0,9.2,949.0,236.9796848547988,986.0,110.3925641359552,1615.0,820.0,23.5,36.9,1.0518,Moderate
3.3,1550.0,20.2,1302.0,434.0,469.0,98.0,1519.0,2170.0,13.5,51.5,0.793,Poor
3.9,1379.0,22.3,1359.0,239.0,537.0,120.0,2336.0,1617.0,26.6,51.2,1.7565,Poor
2.6,1083.0,13.3,1093.0,236.9796848547988,706.0,110.3925641359552,1536.0,925.0,29.6,24.3,0.9889,Moderate
0.9,1021.0,6.3,824.0,68.0,930.0,54.0,1487.0,930.0,17.1,45.3,0.8784,Good
1.0,949.0,3.7,694.0,61.0,1159.0,68.0,1309.0,771.0,9.3,64.3,0.7531,Good
1.7,1101.0,10.3,990.0,90.0,799.0,103.0,1685.0,849.0,34.3,26.0,1.3865,Moderate
3.9,1251.0,18.8,1263.0,470.0,560.0,160.0,1676.0,1288.0,16.5,58.8,1.0921,Poor
1.6,1019.0,5.7,797.0,95.0,1065.0,99.0,1302.0,688.0,13.2,37.9,0.5733,Good
2.3,1001.0,9.7,967.0,347.0,731.0,171.0,920.0,885.0,15.0,15.8,0.2678,Moderate
3.8,1438.0,22.8,1373.0,689.0,435.0,231.0,1640.0,1705.0,12.9,48.8,0.725,Poor
3.1,1492.0,50.7,1981.0,846.0,448.0,215.0,1566.0,2346.0,5.4,55.1,0.497,Poor
0.95,983.0,3.8,697.0,57.0,1209.0,63.0,1295.0,800.0,7.4,64.8,0.6683,Good
0.75,896.0,1.3,528.0,41.0,1462.0,69.0,1100.0,692.0,12.2,37.2,0.5277,Good
2.3,1078.0,14.1,1120.0,149.0,817.0,119.0,1805.0,963.0,35.9,20.8,1.2103,Moderate
5.6,1583.0,29.4,1537.0,803.0,461.0,160.0,2214.0,1788.0,23.0,56.4,1.5614,Poor
1.4,1092.0,3.5,682.0,198.0,797.0,104.0,1255.0,637.0,15.4,75.2,1.3024,Good
1.9,1091.0,7.4,875.0,298.0,751.0,143.0,1009.0,1346.0,4.2,58.1,0.4832,Good
1.0,846.0,3.8,698.0,240.0,1034.0,110.0,904.0,814.0,2.5,59.3,0.4401,Good
0.2,806.0,2.3,605.0,74.0,1366.0,68.0,1131.0,725.0,21.4,35.7,0.8982,Good
1.3,963.0,6.5,835.0,59.0,1028.0,68.0,1495.0,555.0,24.8,34.8,1.0716,Good
2.2,1206.0,7.3,867.0,119.0,877.0,106.0,1532.0,1075.0,13.9,64.0,1.013,Good
0.8,830.0,3.4,678.0,37.0,1142.0,60.0,1291.0,526.0,33.8,21.9,1.1303,Good
1.8,1062.0,10.4,991.0,200.0,655.0,104.0,1672.0,966.0,24.4,53.4,1.6031,Moderate
1.9,1110.0,9.8,970.0,266.0,666.0,62.0,1593.0,1440.0,20.3,71.1,1.6803,Moderate
1.4,867.0,3.7,694.0,182.0,905.0,133.0,857.0,538.0,13.8,30.6,0.479,Good
4.6,1523.0,14.5,1131.0,538.0,540.0,136.0,1488.0,1470.0,10.3,82.8,1.0369,Moderate
0.6,1136.0,6.2,822.0,218.0,653.0,129.0,1183.0,744.0,15.0,48.6,0.8253,Good
1.3,1058.0,4.3,727.0,171.5,834.0,93.0,1192.0,860.0,12.2,74.5,1.0537,Good
1.1,941.0,5.7,799.0,52.0,877.0,69.0,1567.0,581.0,38.1,26.3,1.7252,Good
2.2,1193.0,13.7,1105.0,100.0,667.0,97.0,1984.0,1194.0,28.2,48.1,1.8144,Moderate
1.3,1075.0,9.9,972.0,111.0,818.0,109.0,1525.0,922.0,41.8,15.0,1.1989,Moderate
1.9,1298.0,12.7,1075.0,103.0,748.0,98.0,1689.0,1021.0,31.7,21.5,0.9902,Moderate
2.5,1136.0,13.2,1089.0,127.0,855.0,101.0,1551.0,928.0,20.6,24.8,0.5931,Moderate
3.0,1304.0,18.2,1244.0,529.0,524.0,108.0,1741.0,1539.0,19.3,66.2,1.4706,Poor
0.7,969.0,2.5,618.0,112.0,887.0,83.0,1095.0,611.0,13.3,62.4,0.946,Good
1.3,973.0,8.8,929.0,104.0,872.0,97.0,1535.0,712.0,33.9,21.3,1.1067,Moderate
1.5,1110.0,5.2,773.0,216.0,689.0,115.0,1331.0,915.0,17.8,61.7,1.2436,Good
6.2,1757.0,33.7,1635.0,302.0,493.0,129.0,2560.0,1806.0,16.2,52.5,0.9576,Poor
2.8,1312.0,11.8,1041.0,121.0,820.0,103.0,1711.0,1072.0,15.5,50.8,0.8881,Moderate
3.2,1453.0,20.1,1298.0,470.0,489.0,69.0,1939.0,1496.0,21.5,63.7,1.6186,Poor
2.1,1069.0,10.0,976.0,130.0,808.0,108.0,1687.0,818.0,34.0,25.6,1.3363,Moderate
3.5,1350.0,17.0,1209.0,195.0,708.0,120.0,1782.0,1374.0,19.3,35.4,0.7824,Poor
2.5,1186.0,9.8,969.0,477.0,625.0,198.0,1174.0,1203.0,8.4,44.6,0.4922,Moderate
5.4,1424.0,32.3,1605.0,631.0,659.0,220.0,1919.0,2321.0,35.2,16.6,0.9242,Poor
1.1,812.0,2.5,620.0,152.0,1143.0,109.0,668.0,528.0,0.3,31.9,0.2031,Good
3.8,1374.0,18.5,1254.0,732.0,503.0,214.0,1375.0,1855.0,8.3,43.5,0.4774,Poor
2.0,1319.0,9.3,950.0,315.0,542.0,134.0,1428.0,1425.0,16.2,66.3,1.208,Moderate
1.7,1205.0,9.3,949.0,162.0,818.0,90.0,1771.0,1115.0,15.9,73.1,1.3136,Moderate
2.3,1137.0,10.2,985.0,171.0,857.0,118.0,1606.0,1044.0,19.4,42.6,0.9485,Moderate
3.6,1451.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,Moderate
1.0,862.0,2.7,635.0,57.0,1289.0,52.0,1185.0,388.0,17.4,33.9,0.6683,Good
0.9,899.0,2.0,581.0,107.0,1080.0,84.0,791.0,376.0,11.2,33.8,0.449,Good
1.5,1014.0,6.5,833.0,214.0,785.0,84.0,1400.0,867.0,16.9,81.4,1.551,Good
1.3,1135.0,7.7,885.0,348.0,806.0,163.0,1006.0,1403.0,7.1,43.2,0.436,Good
1.7,1177.0,5.8,800.0,222.0,695.0,138.0,1190.0,748.0,20.5,38.4,0.9161,Good
1.2,1018.0,3.7,692.0,157.0,868.0,118.0,936.0,683.0,13.8,32.4,0.5084,Good
3.5,1432.0,16.2,1186.0,585.0,479.0,151.0,1497.0,1738.0,11.9,69.0,0.9568,Moderate
0.3,814.0,2.5,617.0,37.5,1096.0,52.5,1400.0,696.0,21.6,46.1,1.1761,Good
2.0851233094669848,860.0,2.5,622.0,51.0,1096.0,59.0,1465.0,552.0,25.3,47.6,1.5159,Good
0.4,936.0,2.8,639.0,194.0,922.0,129.0,870.0,1010.0,2.1,60.3,0.4368,Good
1.6,1125.0,9.6,962.0,62.0,712.0,70.0,1719.0,1178.0,26.9,46.1,1.608,Moderate
0.6,819.0,2.2,597.0,23.0,1065.0,30.0,1511.0,683.0,23.8,65.7,1.9079,Good
1.6,1143.0,6.3,825.0,96.0,985.0,86.0,1477.0,978.0,12.0,61.6,0.8593,Good
1.7,1064.0,6.4,829.0,270.0,739.0,144.0,1052.0,1058.0,7.8,49.9,0.5307,Good
1.8,1064.0,9.8,969.0,77.0,698.0,70.0,1723.0,1048.0,25.7,50.7,1.6491,Moderate
2.9,1056.0,13.1,1086.0,236.9796848547988,871.0,110.3925641359552,1769.0,981.0,24.4,35.2,1.0632,Moderate
1.2,1142.0,6.1,817.0,279.0,646.0,103.0,1315.0,1121.0,14.0,68.6,1.0918,Good
0.7,830.0,2.3,607.0,33.0,1281.0,41.0,1369.0,441.0,18.6,52.3,1.1121,Good
2.0,1285.0,13.2,1089.0,100.0,750.0,98.0,1718.0,1023.0,31.7,21.7,0.9966,Moderate
1.9,1080.0,12.1,1053.0,108.0,770.0,106.0,1773.0,882.0,39.6,19.0,1.3447,Moderate
0.4,767.0,1.2,519.0,30.0,1526.0,42.0,1287.0,377.0,20.5,46.8,1.1152,Good
0.7,874.0,3.6,685.0,36.0,1031.0,48.0,1401.0,500.0,38.9,20.3,1.382,Good
1.0,867.0,3.2,665.0,186.0,1067.0,99.0,865.0,799.0,3.2,55.7,0.4344,Good
1.2,826.0,5.1,768.0,233.0,971.0,103.0,1040.0,671.0,13.0,40.1,0.5989,Good
4.0,1318.0,24.4,1413.0,204.0,596.0,135.0,2050.0,1329.0,19.2,45.7,1.0084,Poor
2.5,1060.0,11.9,1047.0,413.0,706.0,180.0,982.0,1246.0,12.5,17.2,0.2477,Moderate
3.4,1416.0,20.2,1302.0,244.0,635.0,139.0,1964.0,1752.0,20.7,40.0,0.9639,Poor
2.8,1144.0,13.2,1091.0,436.0,671.0,171.0,1294.0,1387.0,11.8,44.3,0.6121,Moderate
4.6,1567.0,19.4,1280.0,741.0,478.0,174.0,1703.0,1774.0,16.3,68.7,1.2596,Poor
0.0,879.0,2.1,594.0,134.0,1119.0,97.0,839.0,791.0,2.5,54.1,0.4017,Good
1.1,856.0,5.2,775.0,45.0,979.0,55.0,1258.0,512.0,37.3,15.4,0.9692,Good
2.0,1016.0,10.0,976.0,236.9796848547988,951.0,110.3925641359552,1651.0,948.0,22.4,41.0,1.1006,Moderate
3.9,1473.0,20.3,1306.0,190.0,633.0,114.0,2059.0,1365.0,12.6,70.2,1.0221,Poor
2.1,1217.0,6.3,825.0,306.0,627.0,126.0,1392.0,977.0,14.2,82.3,1.3219,Good
2.5,1144.0,13.8,1111.0,323.0,621.0,109.0,1481.0,1331.0,20.3,47.5,1.1187,Moderate
1.6,1176.0,6.2,822.0,213.0,703.0,109.0,1293.0,778.0,24.2,38.1,1.1357,Good
0.9,948.0,2.7,634.0,43.0,1319.0,61.0,1326.0,715.0,11.3,60.0,0.8025,Good
6.8,1486.0,30.8,1569.0,953.0,454.0,285.0,1556.0,2178.0,8.6,29.8,0.3344,Poor
2.5,1213.0,15.7,1170.0,136.0,681.0,133.0,1963.0,1053.0,37.8,24.4,1.5722,Moderate
1.9,1099.0,9.2,946.0,111.0,827.0,98.0,1726.0,932.0,30.5,33.9,1.4564,Moderate
0.9,930.0,2.6,627.0,116.0,947.0,98.0,859.0,910.0,2.3,58.9,0.4317,Good
0.4,843.0,0.6,452.0,52.5,1378.0,51.0,748.0,336.0,6.9,40.9,0.4091,Good
1.9,1099.0,6.4,829.0,103.0,886.0,83.0,1564.0,971.0,12.7,81.2,1.1849,Good
1.5,984.0,8.5,919.0,104.0,1027.0,86.0,1387.0,699.0,26.3,18.9,0.6344,Moderate
0.7,797.0,2.5,618.0,41.0,1204.0,14.0,1138.0,500.0,15.7,51.1,0.9056,Good
0.7,842.0,2.5,621.0,236.9796848547988,1145.0,110.3925641359552,1060.0,554.0,6.9,82.3,0.8244,Good
3.2,1284.0,18.4,1251.0,364.0,581.0,134.0,1866.0,1292.0,26.6,44.3,1.5229,Poor
2.9,1320.0,17.0,1209.0,263.0,594.0,147.0,2051.0,1476.0,29.3,40.0,1.6082,Poor
0.4,1161.0,6.7,842.0,302.0,684.0,103.0,1335.0,1027.0,12.3,73.3,1.0448,Good
1.2,885.0,5.1,767.0,68.0,1054.0,79.0,1531.0,701.0,21.6,46.0,1.1742,Good
5.6,1515.0,31.4,1583.0,699.0,495.0,133.0,2287.0,1590.0,18.2,66.1,1.3679,Poor
1.2,1057.0,6.5,833.0,47.0,804.0,53.0,1623.0,625.0,38.3,27.1,1.797,Good
2.5,1145.0,13.0,1083.0,159.0,712.0,121.0,1829.0,1215.0,27.3,35.3,1.2606,Moderate
1.6,1175.0,7.5,880.0,318.0,634.0,126.0,1257.0,1179.0,9.9,67.6,0.8239,Good
4.2,1273.0,14.6,1135.0,683.0,546.0,228.0,1233.0,1741.0,11.5,35.9,0.4862,Moderate
1.9,1276.0,7.7,886.0,140.0,901.0,109.0,1578.0,1003.0,12.2,70.0,0.9924,Good
0.4,818.0,1.4,537.0,46.0,1264.0,30.0,1314.0,550.0,20.4,71.2,1.6834,Good
0.3,831.0,2.6,625.0,22.0,1125.0,33.0,1405.0,483.0,22.4,49.7,1.3333,Good
1.0,966.0,4.5,739.0,50.0,925.0,50.0,1525.0,557.0,38.8,25.4,1.7282,Good
1.8,1090.0,11.7,1038.0,103.0,744.0,99.0,1785.0,1088.0,28.6,36.8,1.416,Moderate
